cicle;titol_cicle;modul;titol_modul;uf;titol_uf
smx;Sistemes Microinformàtics i Xarxes;mp01;Muntatge i Manteniment d'Equips Informàtics;uf1;Electricitat a l'ordinador
smx;Sistemes Microinformàtics i Xarxes;mp01;Muntatge i Manteniment d'Equips Informàtics;uf2;Components d'un sistema microinformàtic
smx;Sistemes Microinformàtics i Xarxes;mp01;Muntatge i Manteniment d'Equips Informàtics;uf3;Muntatge d'un sistema microinformàtic
smx;Sistemes Microinformàtics i Xarxes;mp01;Muntatge i Manteniment d'Equips Informàtics;uf4;Noves tendències de muntatge
smx;Sistemes Microinformàtics i Xarxes;mp01;Muntatge i Manteniment d'Equips Informàtics;uf5;Manteniment
smx;Sistemes Microinformàtics i Xarxes;mp01;Muntatge i Manteniment d'Equips Informàtics;uf6;Instal·lació de programari
daw;Desenvolupament d'aplicacions web;mp08;Desplegament d'Aplicacions Web;uf1;Servidors Web i de transferència de fitxers
daw;Desenvolupament d'aplicacions web;mp08;Desplegament d'Aplicacions Web;uf2;Servidors d'aplicacions web
daw;Desenvolupament d'aplicacions web;mp08;Desplegament d'Aplicacions Web;uf3;Desplegament d'aplicacions web
daw;Desenvolupament d'aplicacions web;mp08;Desplegament d'Aplicacions Web;uf4;Control de versions i documentació

